Company,Location HQ,Industry,%,Date,Source,$ Raised (mm),Stage,Date Added,Country,AI,# Laid Off,_source,_scraped_at
Coursera,['SF Bay Area'],Education,,2026-07-06T00:00:00.000Z,https://www.reuters.com/sustainability/coursera-cut-jobs-post-udemy-merger-restructuring-2026-07-06/,458.0,Acquired,2026-07-08T14:58:15.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Hotmart,"['Belo Horizonte', 'Non-U.S.']",Marketing,0.1,2026-07-06T00:00:00.000Z,https://g1.globo.com/trabalho-e-carreira/noticia/2026/07/06/hotmart-faz-layoff-e-demite-cerca-de-10percent-dos-funcionarios-em-reestruturacao.ghtml,127.0,Series C,2026-07-11T21:13:29.000Z,Brazil,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
CorroHealth,"['Kochi', 'Non-U.S.']",Healthcare,,2026-07-03T00:00:00.000Z,https://www.onmanorama.com/news/kerala/2026/07/03/kerala-job-cuts-protest.html,376.0,Private Equity,2026-07-06T17:04:17.000Z,India,No,800.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
TikTok,"['Dublin', 'Non-U.S.']",Consumer,,2026-07-01T00:00:00.000Z,https://startupfortune.com/tiktok-confirms-layoffs-in-singapore-and-three-other-cities-in-one-day/,,Acquired,2026-07-05T03:05:13.000Z,Ireland,Yes,300.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Tokopedia,"['Jakarta', 'Non-U.S.']",Retail,0.9,2026-07-01T00:00:00.000Z,https://www.techinasia.com/tiktok-confirms-layoffs-in-indonesia,2800.0,Acquired,2026-07-03T15:53:00.000Z,Indonesia,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
PlaxidityX,"['Tel Aviv', 'Non-U.S.']",Security,,2026-06-30T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/rj3q6xzmfg,25.0,Acquired,2026-07-01T00:19:03.000Z,Israel,No,80.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Elementor,"['Tel Aviv', 'Non-U.S.']",Media,0.3,2026-06-29T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/sycgn6yxze,65.0,Series B,2026-06-30T01:28:53.000Z,Israel,Yes,100.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Equip Health,['San Diego'],Healthcare,0.04,2026-06-29T00:00:00.000Z,https://bhbusiness.com/2026/06/29/digital-eating-disorder-treatment-startup-equip-health-rolls-out-layoffs/,164.0,Unknown,2026-06-30T01:30:02.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
SAS,['Raleigh'],Data,,2026-06-26T00:00:00.000Z,https://www.newsobserver.com/news/business/article316281262.html,,Unknown,2026-06-27T16:41:37.000Z,United States,No,300.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
ADP,['Jersey City'],HR,,2026-06-26T00:00:00.000Z,https://www.nj.gov/labor/assets/PDFs/WARN/2026_WARN_Notice_Archive.pdf,,Post-IPO,2026-06-30T17:56:06.000Z,United States,No,76.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Culture Amp,"['Melbourne', 'Non-U.S.']",HR,0.09,2026-06-26T00:00:00.000Z,https://www.capitalbrief.com/article/culture-amp-cuts-70-jobs-9-of-its-workforce-in-third-round-of-layoffs-in-3-years-400d7e8e-c8d8-4c82-b4c2-3bb36bdfb5d5/,257.0,Series F,2026-06-27T16:42:13.000Z,Australia,Yes,70.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
CompanyCam,['Lincoln'],Recruiting,,2026-06-26T00:00:00.000Z,https://journalstar.com/news/local/business/article_8361d6df-899e-4843-a5ed-634232e5c917.html,38.0,Series C,2026-06-27T16:51:12.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
JiviAI,"['Gurugram', 'Non-U.S.']",Healthcare,1.0,2026-06-26T00:00:00.000Z,https://entrackr.com/exclusive/exclusive-jiviai-shuts-down-founder-ankur-jain-may-rejoin-bharatpe-12108207,,Seed,2026-06-27T16:54:22.000Z,India,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Bungie,['Seattle'],Consumer,,2026-06-25T00:00:00.000Z,https://www.geekwire.com/2026/sony-cuts-significant-number-of-jobs-at-bungie-following-end-of-destiny-2-development/,100.0,Acquired,2026-06-27T16:45:42.000Z,United States,No,292.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
BitGo,['SF Bay Area'],Crypto,0.15,2026-06-25T00:00:00.000Z,https://x.com/mikebelshe/status/2070240967479996463,171.0,Unknown,2026-06-26T22:27:15.000Z,United States,Yes,90.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Amperity,['Seattle'],Marketing,,2026-06-25T00:00:00.000Z,https://www.geekwire.com/2026/amperity-hit-with-layoffs-as-ai-changes-the-shape-of-the-customer-data-startup-and-how-it-operates/,187.0,Series D,2026-06-26T22:26:19.000Z,United States,Yes,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Sonos,['Santa Barbara'],Consumer,0.03,2026-06-25T00:00:00.000Z,https://www.bloomberg.com/news/articles/2026-06-25/sonos-cuts-3-of-staff-across-user-experience-product-teams,455.2,Post-IPO,2026-06-27T16:42:59.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Cyberbit,"['Tel Aviv', 'Non-U.S.']",Security,,2026-06-24T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/r1wrssfffg,,Unknown,2026-06-25T16:26:31.000Z,Israel,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Elastic,['SF Bay Area'],Data,0.07,2026-06-24T00:00:00.000Z,https://www.elastic.co/blog/ceo-ash-kulkarni-announcement-to-elastic-employees,162.0,Post-IPO,2026-06-24T23:17:51.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Snyk,['Boston'],Security,,2026-06-24T00:00:00.000Z,https://snyk.io/blog/a-note-to-our-customers-and-partners/,849.0,Series F,2026-06-24T21:07:12.000Z,United States,Yes,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Oracle,['SF Bay Area'],Other,0.13,2026-06-23T00:00:00.000Z,https://www.cnbc.com/2026/06/23/oracle-ai-job-cuts-layoffs-21000.html,,Post-IPO,2026-03-31T17:01:18.000Z,United States,Yes,21000.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Ethereum Foundation,"['Zug', 'Non-U.S.']",Crypto,0.2,2026-06-23T00:00:00.000Z,https://www.coindesk.com/tech/2026/06/23/ethereum-foundation-cuts-20-of-staff-amid-leadership-exodus,18.0,Unknown,2026-06-23T17:35:50.000Z,Switzerland,No,54.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Lazada Group ,"['Singapore', 'Non-U.S.']",Retail,0.05,2026-06-23T00:00:00.000Z,https://www.techinasia.com/lazada-cuts-5-workforce-sea-market-review,7200.0,Acquired,2026-06-23T17:32:37.000Z,Singapore,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Lucid Motors,['SF Bay Area'],Transportation,0.18,2026-06-22T00:00:00.000Z,https://arstechnica.com/cars/2026/06/lucid-lays-off-1500-workers-in-second-big-cut-of-the-year/,8300.0,Post-IPO,2026-06-23T01:29:47.000Z,United States,No,1500.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
91Trucks,"['Gurugram', 'Non-U.S.']",Transportation,0.7,2026-06-22T00:00:00.000Z,https://entrackr.com/exclusive/exclusive-91trucks-lays-off-nearly-70-workforce-shuts-stores-as-growth-slows-12061133,5.0,Series A,2026-06-23T01:30:54.000Z,India,No,100.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Tractive,"['Vienna', 'Non-U.S.']",Hardware,,2026-06-22T00:00:00.000Z,https://ooe.orf.at/stories/3359562/,38.0,Acquired,2026-06-30T17:54:21.000Z,Austria,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Lastminute,"['Amsterdam', 'Non-U.S.']",Travel,0.25,2026-06-17T00:00:00.000Z,https://res.cloudinary.com/lastminute-contenthub/image/upload/v1781669340/DAM/Artwork/lastminute.com/press_release/2026/20260617%20lastminute.com%20Announces%20AI%20Powered%20Transformation%20to%20Drive%20Its%20Next%20Phase%20of%20Growth_EN.pdf,,Post-IPO,2026-06-19T17:49:58.000Z,Netherlands,Yes,400.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Optimove,"['Tel Aviv', 'Non-U.S.']",Marketing,0.1,2026-06-17T00:00:00.000Z,https://www.intergameonline.com/igaming/news/optimove-cut-jobs-artificial-intelligence-ai,20.0,Series A,2026-06-19T17:48:02.000Z,Israel,Yes,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Robinhood,['SF Bay Area'],Finance,0.1,2026-06-16T00:00:00.000Z,https://www.forbes.com/sites/tylerroush/2026/06/16/robinhood-cuts-10-of-workforce-citing-heavily-layered-operations/,6200.0,Post-IPO,2026-06-16T20:28:07.000Z,United States,No,290.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Artlist,"['Tel Aviv', 'Non-U.S.']",Media,0.4,2026-06-16T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/xrqudqiq6,48.0,Unknown,2026-06-16T20:39:55.000Z,Israel,Yes,200.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
FNZ,"['London', 'Non-U.S.']",Finance,,2026-06-16T00:00:00.000Z,https://citywire.com/new-model-adviser/news/exclusive-fnz-to-cut-jobs-in-turnaround-plan-after-1-4bn-loss/a2492053,3500.0,Private Equity,2026-06-16T20:41:53.000Z,United Kingdom,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Matter Labs,"['Berlin', 'Non-U.S.']",Crypto,,2026-06-16T00:00:00.000Z,https://x.com/gluk64/status/2066964567884747146,308.0,Unknown,2026-06-19T17:43:04.000Z,Germany,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Rackspace,['San Antonio'],Data,0.15,2026-06-16T00:00:00.000Z,https://www.bizjournals.com/sanantonio/news/2026/06/16/rackspace-slashes-local-workforce.html,17.0,Acquired,2026-06-19T17:48:27.000Z,United States,Yes,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Rivian,['Detroit'],Transportation,0.02,2026-06-16T00:00:00.000Z,https://techcrunch.com/2026/06/16/rivian-cuts-hundreds-of-workers-after-r2-deliveries-start/,10700.0,Post-IPO,2026-06-16T23:11:11.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Pleo,"['Copenhagen', 'Non-U.S.']",Finance,,2026-06-12T00:00:00.000Z,https://tech.eu/2026/06/12/pleo-undertakes-fresh-round-of-job-cuts-around-50-laid-off/,428.0,Series C,2026-06-12T14:09:18.000Z,Denmark,No,50.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
ServiceNow,['SF Bay Area'],Support,,2026-06-11T00:00:00.000Z,https://www.siliconvalley.com/2026/06/11/tech-servicenow-jobs-salesforce-layoff-ubisoft-santa-clara-work-ai/amp/,84.0,Post-IPO,2026-06-12T14:08:48.000Z,United States,Yes,54.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Opendoor,"['Bengaluru', 'Non-U.S.']",Real Estate,,2026-06-10T00:00:00.000Z,https://techcrunch.com/2026/06/10/opendoors-india-exit-is-fueling-a-bigger-conversation-about-ai-and-outsourcing/,1900.0,Post-IPO,2026-06-12T04:43:52.000Z,India,Yes,250.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Veritone,['Los Angeles'],AI,0.25,2026-06-10T00:00:00.000Z,https://www.marketwatch.com/story/veritone-to-cut-at-least-25-of-workforce-64eca1cb,514.0,Post-IPO,2026-06-19T17:41:19.000Z,United States,No,111.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Shopee,"['Singapore', 'Non-U.S.']",Food,0.08,2026-06-10T00:00:00.000Z,https://www.straitstimes.com/business/seas-shopee-cuts-hundreds-of-developer-jobs-during-pivot-to-ai,,Unknown,2026-06-10T22:19:41.000Z,Singapore,Yes,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Paytm,"['Noida', 'Non-U.S.']",Finance,0.01,2026-06-09T00:00:00.000Z,https://www.moneycontrol.com/news/business/paytm-plans-10-staff-increase-in-ai-pivot-with-some-roles-cut-13944509.html,,Subsidiary,2026-06-22T00:18:13.000Z,India,Yes,400.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
